Symbol,Description,Symbol,Description
|7s-H|,Homing,|7s-top-right-corner|,Un-screwing ENABLE switch not made
|7s-039|,Waiting piston return,|7s-top-left-corner|,Screwing ENABLE switch not made
|7s-empty-S|,Blocked,|7s-bottom-left-corner|,Screwing ENABLE switch not centered
|7s-1|,Checking MS firmware (Soft),|7s-bottom-right-corner|,Un-screwing ENABLE switch not centered
|7s-2|,Electrical test,|7s-empty-S|,Damping plus*
|7s-3|,Switch test,|7s-023|,Damping minus*
|7s-4|,Damping*,|7s-027|,Play minus
|7s-5|,Air*,|7s-031|,Play plus
|7s-F|,Play,|7s-E|/|7s-F|,Error / Fault
