                       Size;MS 0 ;MS 1;MS 2;MS 3;MS 4;MS 5;MS 6;MS 7
Dim. (mm)         ;;;;;;;;
A1;84,5;110;137,5;165;192,5;220;275;330
A2;119,5;150;187,5;225;262,5;300;375;450
A3;239;300;375;450;525;600;750;900
A4;391;432;531;594;691;761;892;1069
A5;294;333;427;490;580;650;780;954
A6;194;248;322;372;432;492;610;734
A7;97;124;161;186;216;246;305;367
ØA8 H8;10;12;16;16;20;25;30;35
ØA9;11;11;13;13;13;17;17;22
;;;;;;;;
C1;339;430;535;640;745;860;1070;1280
C2;295;375;464;560;655;750;930;1120
C3;50;50;70;90;90;100;110;150
C4;80;100;120;140;160;180;220;260
ØC5;13;16;18;23;27;33;40;43
Driving flange ;;;;;;;;
B1;117;130;163;183;220;254;305;370
ØB2 H8;40;64;82;90;105;125;170;195
B3 (1);125;170;210;260;280;350;440;520
ØB4 (1);150;200;250;300;340;400;500;600
B5 (1);40;45;50;60;70;75;90;100
M (kg);41;69;133;224;349;518;967;1645
Driving spline;;;;;;;;
D1;117;130;163;183;220;254;305;370
D2;25;31;36;44;50;58;72;95
D3;67;68;91;95;120;138;161;180
Ø D4 H7;61;81;102;122;142;162;204;244
Ø D5 H7;54;72;92;110;128;148;180;220
D6 (DIN 5480) (2);60x28x2;80x25x3;100x32x3;120x28x4;140x26x5;160x30x5;200x24x8;240x28x8
M (kg);39;65;123;208;327;482;900;1550
;;;;;;;;
y1;6;6;6;8;8;8;8;8
y2;2;2;2;4;4;4;4;4
