                 Size;MS 0 ;MS 1;MS 2;MS 3;MS 4;MS 5;MS 6;MS 7
Dim. (mm)     ;;;;;;;;
A1;84,5;110;137,5;165;192,5;220;275;330
A2;119,5;150;187,5;225;262,5;300;375;450
A3;180 +/-2;225 +/- 3;280 +/- 3,5;340 +/- 4;385 +/- 4;440 +/- 4;550 +/- 4,5;655 +/- 4,5
A4;339;444;569;673;753;862;1032;1300
A5;391;432;531;594;691;761;892;1069
A6;294;333;427;490;580;650;780;954
A7;194;248;322;372;432;492;610;734
D1;104;120;142;168;194;228;272;340
D2;25;31;36;44;50;58;72;95
D3;54;58;70;80;94;112;128;150
Ø D4 H7;61;81;102;122;142;162;204;244
Ø D5 H7;54;72;92;110;128;148;180;220
D6 (DIN 5480) (1);60x28x2;80x25x3;100x32x3;120x28x4;140x26x5;160x30x5;200x24x8;240x28x8
Ø D7 H8;18;25;30;35;40;50;60;70
D8;18;20;23;29;32;36;44;56
D9;49;56;68,5;81,5;94;108;133;161,5
M (kg);38;65;123;202;315;473;895;1535
